INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00056700.00,CE      ,00002510.95,00002517.40,00002510.95,00002514.20,000000000000595,              070,              002,              002,        4144992.25,         175992.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00056700.00,PE      ,00000290.60,00000290.60,00000235.35,00000253.50,000000000005425,             1015,              029,              026,       57818780.25,         268280.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00056900.00,CE      ,00002289.60,00002341.40,00002289.60,00002315.50,000000000000525,              070,              002,              002,        4145085.00,         162085.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00056900.00,PE      ,00000311.35,00000312.25,00000272.40,00000278.90,000000000005320,              525,              015,              012,       30027702.25,         155202.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00057100.00,CE      ,00002066.65,00002066.65,00002066.65,00002066.65,000000000000630,              035,              001,              001,        2070832.75,          72332.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00057100.00,PE      ,00000353.15,00000360.00,00000305.75,00000312.15,000000000004445,             2450,              070,              031,      140684342.75,         789342.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00057300.00,CE      ,00001945.45,00001945.45,00001945.00,00001945.00,000000000002310,              105,              003,              003,        6220740.75,         204240.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00057300.00,PE      ,00000402.10,00000409.00,00000348.65,00000356.65,000000000007560,             3815,              109,              049,      220020412.50,        1420912.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00057500.00,CE      ,00001768.65,00001900.00,00001711.20,00001866.55,000000000025095,             7490,              214,              172,      444259466.00,       13584466.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00057500.00,PE      ,00000449.95,00000475.65,00000385.90,00000395.70,000000000123305,            75355,             2153,             1056,     4365213756.75,       32301256.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00057700.00,CE      ,00001705.00,00001705.00,00001705.00,00001705.00,000000000003675,              035,              001,              001,        2079175.00,          59675.00
